comment_counts,name,comment_value,since,sales,url,location
3162,TheEngravery,4.979,2014,16097,https://www.etsy.com/uk/shop/TheEngravery,"Woodland Park, Colorado"
364,aFewHomeTruths,4.8571,2012,2809,https://www.etsy.com/uk/shop/aFewHomeTruths,"Liverpool, United Kingdom"
19374,MyPersonalMemories,4.9523,2013,105309,https://www.etsy.com/uk/shop/MyPersonalMemories,"Coral Springs, Florida"
925,RiverRatDesignsStore,4.8879,2016,6795,https://www.etsy.com/uk/shop/RiverRatDesignsStore,"Star, Idaho"
2773,Revelmy,4.903,2014,15834,https://www.etsy.com/uk/shop/Revelmy,"Palma de Mallorca, Spain"
1281,Seembo,4.9763,2012,8308,https://www.etsy.com/uk/shop/Seembo,"Mount Prospect, Illinois"
2003,TheHeadrush,4.2124,2014,16751,https://www.etsy.com/uk/shop/TheHeadrush,"Tuscaloosa, Alabama"
7577,SugarPlumCreationsCo,4.9383,2016,50185,https://www.etsy.com/uk/shop/SugarPlumCreationsCo,"Orlando, Florida"
652,VividAtelier,4.994,2016,12630,https://www.etsy.com/uk/shop/VividAtelier,
1983,TheVowSheffield,4.9581,2014,13695,https://www.etsy.com/uk/shop/TheVowSheffield,"Sheffield, United Kingdom"
3675,SaucyStickersCo,4.9874,2016,11108,https://www.etsy.com/uk/shop/SaucyStickersCo,"Arlington, Texas"
6807,AtomAttire,4.852,2014,56798,https://www.etsy.com/uk/shop/AtomAttire,"New York, United States"
3038,PrettyInGreenPlants,4.8748,2017,16935,https://www.etsy.com/uk/shop/PrettyInGreenPlants,"Santa Monica, California"
3214,annielesperance,4.8993,2010,18626,https://www.etsy.com/uk/shop/annielesperance,"Montreal, Canada"
15666,Alaridesign,4.9524,2017,77942,https://www.etsy.com/uk/shop/Alaridesign,"Tehachapi, California"
2002,PaprikaPaperie,4.9493,2014,13282,https://www.etsy.com/uk/shop/PaprikaPaperie,"Ballwin, Missouri"
9106,LifetimeCreations,4.9591,2011,54692,https://www.etsy.com/uk/shop/LifetimeCreations,"Lansing, Illinois"
1487,ItsYourTurnSocks,4.9178,2017,9078,https://www.etsy.com/uk/shop/ItsYourTurnSocks,"Louisville, Kentucky"
1508,ShinyStuffCreations,4.9393,2015,12753,https://www.etsy.com/uk/shop/ShinyStuffCreations,"Tiel, The Netherlands"
1777,carl895,4.9949,2011,9468,https://www.etsy.com/uk/shop/carl895,"Fresno, California"
1788,PersonaliseMyName,4.9109,2013,10686,https://www.etsy.com/uk/shop/PersonaliseMyName,"Cardigan, United Kingdom"
5527,MagicLinen,4.9282,2015,35672,https://www.etsy.com/uk/shop/MagicLinen,"Vilnius, Lithuania"
124,MaderacraftHandmade,4.7317,2015,768,https://www.etsy.com/uk/shop/MaderacraftHandmade,"Salt Lake, Utah"
1223,UrbanEdison,4.9613,2014,7430,https://www.etsy.com/uk/shop/UrbanEdison,"San Diego, California"
572,PinkAlligatorGirls,4.9848,2013,2646,https://www.etsy.com/uk/shop/PinkAlligatorGirls,"Orlando, Florida"
3302,PoppyandErie,4.8324,2014,16590,https://www.etsy.com/uk/shop/PoppyandErie,"Jacksonville, Florida"
402,VelvetWay,4.9692,2015,1638,https://www.etsy.com/uk/shop/VelvetWay,"Toronto, Canada"
343,LittleBearPrintsUK,4.94,2014,2131,https://www.etsy.com/uk/shop/LittleBearPrintsUK,"Leeds, United Kingdom"
3208,Woodprintz,4.9807,2015,17563,https://www.etsy.com/uk/shop/Woodprintz,"London, United Kingdom"
10659,SwankyBadger,4.903,2014,51923,https://www.etsy.com/uk/shop/SwankyBadger,"San Diego, California"
7512,3DKoalaLabels,4.9517,2013,41699,https://www.etsy.com/uk/shop/3DKoalaLabels,"League City, Texas"
244,FontsTreasures,4.9554,2017,2910,https://www.etsy.com/uk/shop/FontsTreasures,
11806,PinkandBlueBonnets,4.9546,2014,57752,https://www.etsy.com/uk/shop/PinkandBlueBonnets,"Houston, Texas"
589,vocatio,4.903,2016,4913,https://www.etsy.com/uk/shop/vocatio,"Toronto, Canada"
272,DesignsBACreations,5,2017,2059,https://www.etsy.com/uk/shop/DesignsBACreations,"Slough, United Kingdom"
4236,LiztonSignShop,4.9272,2015,22988,https://www.etsy.com/uk/shop/LiztonSignShop,"Indianapolis, Indiana"
172,CrochetWithHalline,4.87950481928,2017,4149,https://www.etsy.com/uk/shop/CrochetWithHalline,"Cerekvice nad Loučnou, Czechia"
4837,shopsockprints,4.9406,2012,27504,https://www.etsy.com/uk/shop/shopsockprints,"Torrance, California"
6234,ChrissyBPartyShop,4.9386,2015,48757,https://www.etsy.com/uk/shop/ChrissyBPartyShop,"Paradise Valley, Arizona"
5109,OMphiliada,4.8397,2015,42101,https://www.etsy.com/uk/shop/OMphiliada,"New York, United States"
2738,BaliELF,4.8616,2011,11038,https://www.etsy.com/uk/shop/BaliELF,
8606,lizix26,4.9459,2008,40577,https://www.etsy.com/uk/shop/lizix26,"Miami, Florida"
6689,KennaSatoDesigns,4.9598,2015,56801,https://www.etsy.com/uk/shop/KennaSatoDesigns,"Saint George, Utah"
91458,zipit,4.9955,2009,336363,https://www.etsy.com/uk/shop/zipit,"Plymouth, Wisconsin"
1507,TeeHeeHeeShirt,4.8216,2013,17333,https://www.etsy.com/uk/shop/TeeHeeHeeShirt,"Whitby, Canada"
1236,mimetik,4.8956,2009,7229,https://www.etsy.com/uk/shop/mimetik,"Barcelona, Spain"
2435,SaveTheDateDesignsCo,4.9402,2017,15362,https://www.etsy.com/uk/shop/SaveTheDateDesignsCo,"Cinnaminson, New Jersey"
794,NativeRange,4.9475,2016,5261,https://www.etsy.com/uk/shop/NativeRange,
2486,FancyCelebration,4.8258,2017,22142,https://www.etsy.com/uk/shop/FancyCelebration,"Flowery Branch, Georgia"
7967,Mignonsupply,4.9605,2016,69448,https://www.etsy.com/uk/shop/Mignonsupply,"Los Angeles, California"
2125,CornholeBoardsDOTus,4.8986,2014,16674,https://www.etsy.com/uk/shop/CornholeBoardsDOTus,"Orlando, Florida"
7622,TheDancingWick,4.9774,2011,34946,https://www.etsy.com/uk/shop/TheDancingWick,"Spokane, Washington"
1597,BirchmarkDesigns,4.978,2016,9710,https://www.etsy.com/uk/shop/BirchmarkDesigns,"Cincinnati, Ohio"
12818,RenzRags,4.7037,2011,85563,https://www.etsy.com/uk/shop/RenzRags,"San Diego, California"
792,GrammiesHats,4.9375,2011,5408,https://www.etsy.com/uk/shop/GrammiesHats,"Strong, Maine"
1336,VroshhGlass,4.9121,2015,7154,https://www.etsy.com/uk/shop/VroshhGlass,"Seattle, Washington"
5248,kekugi,4.8727,2010,26566,https://www.etsy.com/uk/shop/kekugi,
1143,AenaonArtWork,4.9839,2016,16809,https://www.etsy.com/uk/shop/AenaonArtWork,"Athens, Greece"
15412,VUTIQ,4.7534,2015,79836,https://www.etsy.com/uk/shop/VUTIQ,"Los Angeles, California"
658,lureofcripplecreek,4.8684,2012,3308,https://www.etsy.com/uk/shop/lureofcripplecreek,"Sterling, Connecticut"
2085,LittleQuineCrafts,4.9355,2016,12261,https://www.etsy.com/uk/shop/LittleQuineCrafts,"Chino, California"
9284,BeforeTheIDos,4.9285,2014,47258,https://www.etsy.com/uk/shop/BeforeTheIDos,"Pittsburgh, Pennsylvania"
1465,BeaucoupdeBeads,4.94,2014,10659,https://www.etsy.com/uk/shop/BeaucoupdeBeads,"Oakville, Canada"
24154,silkandmore,4.8991,2009,137879,https://www.etsy.com/uk/shop/silkandmore,
2669,StragaCuttingBoards,4.9516,2015,18401,https://www.etsy.com/uk/shop/StragaCuttingBoards,"Toronto, Canada"
139,AnnAdamsArt,4.9512,2017,1457,https://www.etsy.com/uk/shop/AnnAdamsArt,"Ko Olina, Hawaii"
450,WhereGypsiesRoam,4.928,2016,4530,https://www.etsy.com/uk/shop/WhereGypsiesRoam,"Lancaster, Pennsylvania"
4963,Beadaboutique,4.9579,2013,29164,https://www.etsy.com/uk/shop/Beadaboutique,"Clearwater, Florida"
4171,ChevronSmiles,4.9018,2014,22579,https://www.etsy.com/uk/shop/ChevronSmiles,"Richmond, Virginia"
1085,TheGreenElephantShop,4.9238,2014,5128,https://www.etsy.com/uk/shop/TheGreenElephantShop,"Glendale, Arizona"
