comment_counts,comment_value,location,name,sales,since,url
40,4.9,"Toronto, Canada",ElationLingerie,224,2016,https://www.etsy.com/uk/shop/ElationLingerie
682,4.8258,"Prague, Czechia",FashionForWomen,4833,2014,https://www.etsy.com/uk/shop/FashionForWomen
1730,4.8658,"Lenexa, Kansas",FancyFannyShop,10886,2016,https://www.etsy.com/uk/shop/FancyFannyShop
2364,4.9222,"San Francisco, California",PineappleDesignCo,38814,2017,https://www.etsy.com/uk/shop/PineappleDesignCo
132,4.9773,"Mead, Colorado",DirtRoadLullaby,1012,2018,https://www.etsy.com/uk/shop/DirtRoadLullaby
1852,4.9594,"Calgary, Canada",SNUGAMATE,10096,2015,https://www.etsy.com/uk/shop/SNUGAMATE
1539,4.7018,"Staten Island, New York",FAFlingerie,9227,2011,https://www.etsy.com/uk/shop/FAFlingerie
645,4.8605,"Dayton, Ohio",DivineBodyJewels,5593,2012,https://www.etsy.com/uk/shop/DivineBodyJewels
18,5,"Nyíregyháza, Hungary",Liamore,275,2018,https://www.etsy.com/uk/shop/Liamore
7363,4.9242,"East Providence, Rhode Island",Up2ournecksinfabric,53123,2015,https://www.etsy.com/uk/shop/Up2ournecksinfabric
3519,4.8491,,SWDdesigns,15331,2014,https://www.etsy.com/uk/shop/SWDdesigns
154,4.5319,"Leeds, United Kingdom",Moondustintimates,935,2016,https://www.etsy.com/uk/shop/Moondustintimates
4676,4.9341,"Santa Clarita, California",BabytalkDesigns,23899,2010,https://www.etsy.com/uk/shop/BabytalkDesigns
15,5,"New York, United States",monifclingerie,350,2019,https://www.etsy.com/uk/shop/monifclingerie
6504,4.8438,"Emmett, Idaho",HeirloomGarterCo,35731,2016,https://www.etsy.com/uk/shop/HeirloomGarterCo
2948,4.8951,"Hollywood, Florida",SarafinaDreams,12618,2010,https://www.etsy.com/uk/shop/SarafinaDreams
1204,4.7864,"Battle Creek, Michigan",SeducingLucifer,5584,2014,https://www.etsy.com/uk/shop/SeducingLucifer
5418,4.7384,"Los Angeles, California",Totallybrides,51619,2016,https://www.etsy.com/uk/shop/Totallybrides
2462,4.8217,"Folsom, California",JDCreationsCaLLC,26736,2010,https://www.etsy.com/uk/shop/JDCreationsCaLLC
385,4.7816,"Phoenix, Arizona",Uniquemind,3042,2014,https://www.etsy.com/uk/shop/Uniquemind
11450,4.9663,"Anaheim, California",LaceAndTrims,56918,2010,https://www.etsy.com/uk/shop/LaceAndTrims
786,4.7586,,TheWeddingStyle,5494,2015,https://www.etsy.com/uk/shop/TheWeddingStyle
2585,4.9,"Brunswick, Georgia",SouthernEverAfter,11143,2011,https://www.etsy.com/uk/shop/SouthernEverAfter
17,5,"Chernihiv, Ukraine",MyLovelyLingerie,128,2019,https://www.etsy.com/uk/shop/MyLovelyLingerie
2,5,"Minsk, Belarus",BlackWhiteRabbits,89,2019,https://www.etsy.com/uk/shop/BlackWhiteRabbits
116,4.6731,"Los Angeles, California",PersonalizeMyUndies,817,2017,https://www.etsy.com/uk/shop/PersonalizeMyUndies
318,4.7456,"Hanoi, Vietnam",LelaSilk,2258,2017,https://www.etsy.com/uk/shop/LelaSilk
268,4.9,Poland,ExposeBeauty,2467,2014,https://www.etsy.com/uk/shop/ExposeBeauty
455,4.7432,,HarnessBrazaar,3698,2016,https://www.etsy.com/uk/shop/HarnessBrazaar
13876,4.8219,"Anderson, South Carolina",SymbolicImports,76124,2011,https://www.etsy.com/uk/shop/SymbolicImports
112,4.8182,"Toronto, Canada",Totiashop,658,2016,https://www.etsy.com/uk/shop/Totiashop
1,5,"Chișinău, Moldova",womanartifact,82,2018,https://www.etsy.com/uk/shop/womanartifact
47,4.7273,"Prague, Czechia",bridesmaidsANDbrides,390,2018,https://www.etsy.com/uk/shop/bridesmaidsANDbrides
