sales,url,since,name,location
175,https://www.etsy.com/uk/shop/IvynLove,2016,IvynLove,"Georgina, Canada"
20,https://www.etsy.com/uk/shop/WolfsLeatherAust,2015,WolfsLeatherAust,"South Melbourne, Australia"
45,https://www.etsy.com/uk/shop/SexySuperSexy,2016,SexySuperSexy,"Cagnes-sur-Mer, France"
2,https://www.etsy.com/uk/shop/QueenShopLingerie,2019,QueenShopLingerie,
117,https://www.etsy.com/uk/shop/lexihyun,2016,lexihyun,"Los Angeles, California"
722,https://www.etsy.com/uk/shop/VayZONE,2010,VayZONE,"Barcelona, Spain"
177,https://www.etsy.com/uk/shop/ShannaBritta,2013,ShannaBritta,"St Louis, Missouri"
7,https://www.etsy.com/uk/shop/BoteLingerie,2017,BoteLingerie,"Kyiv, Ukraine"
979,https://www.etsy.com/uk/shop/tramplamps,2007,tramplamps,"Nashville, Tennessee"
10798,https://www.etsy.com/uk/shop/Craftasy,2012,Craftasy,
1745,https://www.etsy.com/uk/shop/IdeologiaStore,2011,IdeologiaStore,"Buenos Aires, Argentina"
7,https://www.etsy.com/uk/shop/bakshandmade,2019,bakshandmade,"Moscow, Russia"
98,https://www.etsy.com/uk/shop/UNude,2018,UNude,"Sofia, Bulgaria"
27447,https://www.etsy.com/uk/shop/BarbarasBoutiqueShop,2016,BarbarasBoutiqueShop,"West Freehold, New Jersey"
721,https://www.etsy.com/uk/shop/GoldenVintAges,2011,GoldenVintAges,
2558,https://www.etsy.com/uk/shop/OblepikhaHarnessShop,2015,OblepikhaHarnessShop,"Kyiv, Ukraine"
11,https://www.etsy.com/uk/shop/Twoneedlesandayarn,2016,Twoneedlesandayarn,"Portlaoise, Ireland"
791,https://www.etsy.com/uk/shop/SecondSkinWilmington,2013,SecondSkinWilmington,"Wilmington, North Carolina"
111,https://www.etsy.com/uk/shop/LaMiaRagazzaLingerie,2018,LaMiaRagazzaLingerie,
511,https://www.etsy.com/uk/shop/KnittedSmiles,2012,KnittedSmiles,"Vratsa, Bulgaria"
51,https://www.etsy.com/uk/shop/ZhgunMadeStore,2019,ZhgunMadeStore,"Riga, Latvia"
