comment_counts,name,comment_value,since,sales,url,location
24,MistressDesigns,0,2015,114,https://www.etsy.com/uk/shop/MistressDesigns,"Gloucester City, New Jersey"
2602,roufe,4.9167,2010,14759,https://www.etsy.com/uk/shop/roufe,"Iasi, Romania"
54,Crochetfield,5,2015,327,https://www.etsy.com/uk/shop/Crochetfield,"Wrocław, Poland"
3,NonpareilLingerie,5,2019,14,https://www.etsy.com/uk/shop/NonpareilLingerie,"Dnipro, Ukraine"
2013,AryaClothing,4.8256,2013,10804,https://www.etsy.com/uk/shop/AryaClothing,"California City, California"
175,Lacegrenade,4.9302,2015,878,https://www.etsy.com/uk/shop/Lacegrenade,"Melbourne, Australia"
539,LenaLenaLingerie,4.9371,2014,2987,https://www.etsy.com/uk/shop/LenaLenaLingerie,
67,Freakystan,4.9841,2016,276,https://www.etsy.com/uk/shop/Freakystan,"Ibiza Town, Spain"
13,YemmyLingerie,4.8,2017,86,https://www.etsy.com/uk/shop/YemmyLingerie,"Kharkiv, Ukraine"
77,LoveunderLingerie,4.925,2017,416,https://www.etsy.com/uk/shop/LoveunderLingerie,"Kyiv, Ukraine"
288,dbleudazzled,5,2011,1974,https://www.etsy.com/uk/shop/dbleudazzled,"Los Angeles, California"
193,WithLoveLingerie,5,2011,614,https://www.etsy.com/uk/shop/WithLoveLingerie,"Toronto, Canada"
39,BaedStories,5,2018,265,https://www.etsy.com/uk/shop/BaedStories,"Kyiv, Ukraine"
487,Lalilouche,5,2010,1412,https://www.etsy.com/uk/shop/Lalilouche,"Tel Aviv, Israel"
67,KerryParkerStore,4.9851,2018,336,https://www.etsy.com/uk/shop/KerryParkerStore,
9,monifclingerie,5,2019,324,https://www.etsy.com/uk/shop/monifclingerie,"New York, United States"
10,CrochetSexyGifts,5,2018,52,https://www.etsy.com/uk/shop/CrochetSexyGifts,
214,nearerthemoon,4.9565,2011,1128,https://www.etsy.com/uk/shop/nearerthemoon,"London, United Kingdom"
82,PivovarovaLingerie,4.9861,2018,493,https://www.etsy.com/uk/shop/PivovarovaLingerie,"Odesa, Ukraine"
29,UNude,4.9615,2018,98,https://www.etsy.com/uk/shop/UNude,"Sofia, Bulgaria"
4,DrakkarUA,5,2019,21,https://www.etsy.com/uk/shop/DrakkarUA,
1539,FAFlingerie,4.6802,2011,9206,https://www.etsy.com/uk/shop/FAFlingerie,"Staten Island, New York"
75,BlancheandGee,4.8261,2016,580,https://www.etsy.com/uk/shop/BlancheandGee,"Poitiers, France"
133,FeyDesignLingerie,4.8831,2016,821,https://www.etsy.com/uk/shop/FeyDesignLingerie,"Odesa, Ukraine"
22,SeninaUnderwear,4.9524,2017,59,https://www.etsy.com/uk/shop/SeninaUnderwear,"Kyiv, Ukraine"
21,MiHarness,5,2018,124,https://www.etsy.com/uk/shop/MiHarness,"Kyiv, Ukraine"
111,Totiashop,4.814,2016,648,https://www.etsy.com/uk/shop/Totiashop,"Toronto, Canada"
259,BlossomBody,4.9219,2016,1423,https://www.etsy.com/uk/shop/BlossomBody,"Cherkasy, Ukraine"
677,FashionForWomen,4.8208,2014,4811,https://www.etsy.com/uk/shop/FashionForWomen,"Prague, Czechia"
39,ElationLingerie,4.8947,2016,222,https://www.etsy.com/uk/shop/ElationLingerie,"Toronto, Canada"
11,MyLovelyLingerie,5,2019,110,https://www.etsy.com/uk/shop/MyLovelyLingerie,"Chernihiv, Ukraine"
