comment_counts,comment_value,location,record_date,record_time,sales,search_key,search_pages,shop_name,since,url
312,4.9091,"London, United Kingdom",20190720,2019-07-20 15:47:01.884944,1530,viking,10,TinyPlanetTreasures,2017,https://www.etsy.com/uk/shop/TinyPlanetTreasures
244,4.8841,"Fleming Island, Florida",20190720,2019-07-20 15:47:01.937291,1169,viking,10,LOVABLEPINATAS,2016,https://www.etsy.com/uk/shop/LOVABLEPINATAS
27,4.92,"Coeur d'Alene, Idaho",20190720,2019-07-20 15:47:01.981503,213,viking,10,NorthSummitCreations,2016,https://www.etsy.com/uk/shop/NorthSummitCreations
3694,4.9367,"Richmond, Canada",20190720,2019-07-20 15:47:02.021670,31991,viking,10,GIGIMEY,2015,https://www.etsy.com/uk/shop/GIGIMEY
367,4.9444,"Saugerties, New York",20190720,2019-07-20 15:47:02.058790,2202,viking,10,lilypickford,2006,https://www.etsy.com/uk/shop/lilypickford
1763,4.9496,"San Tan Valley, Arizona",20190720,2019-07-20 15:47:02.107305,5433,viking,10,TheWickedGriffin,2011,https://www.etsy.com/uk/shop/TheWickedGriffin
657,4.8812,"Moscow, Russia",20190720,2019-07-20 15:47:02.409685,3802,viking,10,SymphonyOfSymbols,2016,https://www.etsy.com/uk/shop/SymphonyOfSymbols
597,4.9937,"Dunoon, United Kingdom",20190720,2019-07-20 15:47:02.459837,3358,viking,10,AsgardScotland,2016,https://www.etsy.com/uk/shop/AsgardScotland
379,4.8657,"Falcon, Colorado",20190720,2019-07-20 15:47:02.578567,1993,viking,10,RavenWoodGripsLLC,2014,https://www.etsy.com/uk/shop/RavenWoodGripsLLC
2163,4.9778,"Ullapool, United Kingdom",20190720,2019-07-20 15:47:02.677169,10202,viking,10,CraftLinds,2014,https://www.etsy.com/uk/shop/CraftLinds
725,4.9565,"Mission Viejo, California",20190720,2019-07-20 15:47:02.740190,2801,viking,10,ShadowMoon,2009,https://www.etsy.com/uk/shop/ShadowMoon
36,5.0,"Kyiv, Ukraine",20190720,2019-07-20 15:47:02.777510,93,viking,10,Shamandrums,2018,https://www.etsy.com/uk/shop/Shamandrums
