comment_counts,name,comment_value,since,sales,url,location
9,holidayshoppinglist,5,2019,42,https://www.etsy.com/uk/shop/holidayshoppinglist,"New York, United States"
29,JohnLaurenceCrafted,4.6087,2017,158,https://www.etsy.com/uk/shop/JohnLaurenceCrafted,"Papakura, New Zealand"
251,ArtefaktumUA,4.9423,2016,1325,https://www.etsy.com/uk/shop/ArtefaktumUA,"Melitopol, Ukraine"
97,MuscleManGear,4.8929,2015,883,https://www.etsy.com/uk/shop/MuscleManGear,
80,WICIstore,5,2017,214,https://www.etsy.com/uk/shop/WICIstore,"Tallinn, Estonia"
165,UkrHeart,4.931,2015,1002,https://www.etsy.com/uk/shop/UkrHeart,"Odesa, Ukraine"
722,ShadowMoon,4.9568,2009,2791,https://www.etsy.com/uk/shop/ShadowMoon,"Mission Viejo, California"
723,WarmHearthCreations,4.9037,2016,3205,https://www.etsy.com/uk/shop/WarmHearthCreations,
89,DaLeeShop,4.9483,2017,630,https://www.etsy.com/uk/shop/DaLeeShop,"Kharkiv, Ukraine"
15,SuzaShop,5,2017,38,https://www.etsy.com/uk/shop/SuzaShop,"Bruchterveld, The Netherlands"
2,ImagineDigiCreations,5,2017,22,https://www.etsy.com/uk/shop/ImagineDigiCreations,"Toronto, Canada"
77,SkullVikings,4.9828,2018,427,https://www.etsy.com/uk/shop/SkullVikings,"Reading, United Kingdom"
1034,Stephyscrochet,4.9355,2013,8780,https://www.etsy.com/uk/shop/Stephyscrochet,"El Paso, Texas"
497,OmaSewHappy,4.9792,2012,2448,https://www.etsy.com/uk/shop/OmaSewHappy,"Biloxi, Mississippi"
26,NorthSummitCreations,4.9583,2016,198,https://www.etsy.com/uk/shop/NorthSummitCreations,"Coeur d'Alene, Idaho"
1,ThePurpleMoon333,5,2016,4,https://www.etsy.com/uk/shop/ThePurpleMoon333,"Salt Lake, Utah"
656,VliegendeHollander,4.8281,2011,6592,https://www.etsy.com/uk/shop/VliegendeHollander,"Nieuwegein, The Netherlands"
42,SteelMasteryCom,5,2016,180,https://www.etsy.com/uk/shop/SteelMasteryCom,"Springfield, Massachusetts"
249,aYaHeadzofDreadz,4.9722,2011,808,https://www.etsy.com/uk/shop/aYaHeadzofDreadz,"Bude, United Kingdom"
199,ThreadTreasuresEmbro,4.9783,2015,2231,https://www.etsy.com/uk/shop/ThreadTreasuresEmbro,"Harrah, Oklahoma"
28,MerlinWallArt,5,2018,267,https://www.etsy.com/uk/shop/MerlinWallArt,"London, United Kingdom"
54,ShelleyManor,4.9767,2017,173,https://www.etsy.com/uk/shop/ShelleyManor,"Scottsdale, Arizona"
6,PurpleOctopusDesign,5,2019,49,https://www.etsy.com/uk/shop/PurpleOctopusDesign,
339,HandPrintWorkshop,4.9624,2017,1174,https://www.etsy.com/uk/shop/HandPrintWorkshop,"St Petersburg, Russia"
169,CreateHopeCuffs,5,2015,1175,https://www.etsy.com/uk/shop/CreateHopeCuffs,"Kimball, Minnesota"
44,AncientMetalFindings,4.9231,2016,163,https://www.etsy.com/uk/shop/AncientMetalFindings,"Boulder, Colorado"
1463,LaAntiguaTextiles,4.9932,2009,7246,https://www.etsy.com/uk/shop/LaAntiguaTextiles,"Rapid City, South Dakota"
12,IconicJewelryco,5,2018,91,https://www.etsy.com/uk/shop/IconicJewelryco,"Saint Clairsville, Ohio"
1182,SKDSweetKateDesigns,4.9946,2014,15056,https://www.etsy.com/uk/shop/SKDSweetKateDesigns,"Augusta, Georgia"
479,Mycyberattic,4.9848,2016,1763,https://www.etsy.com/uk/shop/Mycyberattic,"Indianapolis, Indiana"
1,JestexCorner,5,2019,18,https://www.etsy.com/uk/shop/JestexCorner,"Chicago, Illinois"
35,NyeEmporiumPahrump,5,2018,146,https://www.etsy.com/uk/shop/NyeEmporiumPahrump,"Pahrump, Nevada"
5,MIDCENTURYARCHIVE,5,2019,32,https://www.etsy.com/uk/shop/MIDCENTURYARCHIVE,"Eugene, Oregon"
1,FoxlairDesigns,5,2017,41,https://www.etsy.com/uk/shop/FoxlairDesigns,"Frederick, Maryland"
6,TheWaywardPilgrim,5,2018,28,https://www.etsy.com/uk/shop/TheWaywardPilgrim,
18,AvaGirlPatterns,4.9375,2018,271,https://www.etsy.com/uk/shop/AvaGirlPatterns,"Del Mar, California"
1,AdrianaCrochet,5,2017,4,https://www.etsy.com/uk/shop/AdrianaCrochet,"Puebla City, Mexico"
131,LaDeesAntiques,4.9889,2017,474,https://www.etsy.com/uk/shop/LaDeesAntiques,
26,SmallKatStudios,5,2016,91,https://www.etsy.com/uk/shop/SmallKatStudios,"Detroit, Michigan"
11,Sloboda33,4.5455,2019,48,https://www.etsy.com/uk/shop/Sloboda33,"Vladimir, Russia"
106,Paulaparaula,4.9884,2017,1584,https://www.etsy.com/uk/shop/Paulaparaula,"Valencia, Spain"
591,WeBGlass,4.9739,2013,1849,https://www.etsy.com/uk/shop/WeBGlass,"Greensburg, Pennsylvania"
116,SVGShopYou,4.9655,2019,682,https://www.etsy.com/uk/shop/SVGShopYou,"Los Angeles, California"
49,TurtleToppers,5,2017,334,https://www.etsy.com/uk/shop/TurtleToppers,
226,Hvitolg,4.9762,2011,612,https://www.etsy.com/uk/shop/Hvitolg,"Tallinn, Estonia"
32,BlackWolfJeweller,5,2013,143,https://www.etsy.com/uk/shop/BlackWolfJeweller,"Vancouver, Canada"
11,AntiquityStoreShop,5,2018,63,https://www.etsy.com/uk/shop/AntiquityStoreShop,
11,GraffitiVectors,5,2015,82,https://www.etsy.com/uk/shop/GraffitiVectors,
45,SwiftHammerLeather,5,2015,339,https://www.etsy.com/uk/shop/SwiftHammerLeather,"Vista, California"
109,MishMashDenver,4.8182,2017,727,https://www.etsy.com/uk/shop/MishMashDenver,"Denver, Colorado"
1404,TheNorseWind,4.9919,2015,6285,https://www.etsy.com/uk/shop/TheNorseWind,"Burgas, Bulgaria"
4,WanderlandByDrugilla,5,2018,34,https://www.etsy.com/uk/shop/WanderlandByDrugilla,"Marseille 05, France"
425,hiphooray,4.9281,2011,8830,https://www.etsy.com/uk/shop/hiphooray,"Seattle, Washington"
19,DruiDleatherhandmade,4.6154,2017,80,https://www.etsy.com/uk/shop/DruiDleatherhandmade,"Yerevan, Armenia"
200,aManCaveStore,4.9143,2015,1083,https://www.etsy.com/uk/shop/aManCaveStore,
354,TrendySnake,4.9388,2014,1812,https://www.etsy.com/uk/shop/TrendySnake,"London, United Kingdom"
26,WarCryHQ,5,2017,83,https://www.etsy.com/uk/shop/WarCryHQ,
582,MyVintageAlcove,4.96,2010,2474,https://www.etsy.com/uk/shop/MyVintageAlcove,"Hendersonville, North Carolina"
632,TeamSpiritSVG,4.9743,2016,13518,https://www.etsy.com/uk/shop/TeamSpiritSVG,
8,UlfurandLeourblaka,5,2017,32,https://www.etsy.com/uk/shop/UlfurandLeourblaka,"Baltimore, Maryland"
2,Elvyness,3,2019,5,https://www.etsy.com/uk/shop/Elvyness,"Kent, Ohio"
