comment_counts,comment_value,location,name,sales,since,url
701,4.9387,"Frankfurt, Germany",Burgschneider,3037,2017,https://www.etsy.com/uk/shop/Burgschneider
1,5,,WelzArt,7,2019,https://www.etsy.com/uk/shop/WelzArt
319,4.8519,"Kaliningrad, Russia",NothernFox,1230,2016,https://www.etsy.com/uk/shop/NothernFox
158,4.9494,"New York, United States",Showmore,3754,2018,https://www.etsy.com/uk/shop/Showmore
1569,4.9898,"Greenwood, South Carolina",BlythHouseCreations,5882,2007,https://www.etsy.com/uk/shop/BlythHouseCreations
933,4.9512,"St Petersburg, Russia",AmritaSPB,3644,2016,https://www.etsy.com/uk/shop/AmritaSPB
14,5,"Malyn, Ukraine",SvarogsHammerShop,72,2018,https://www.etsy.com/uk/shop/SvarogsHammerShop
528,4.9684,"Saskatoon, Canada",RagnarTheTrader,2445,2014,https://www.etsy.com/uk/shop/RagnarTheTrader
2563,4.9653,"Mankato, Minnesota",WestWolfRenaissance,8414,2012,https://www.etsy.com/uk/shop/WestWolfRenaissance
54,4.9189,"Ozark, Missouri",RazorStoneArchery,248,2017,https://www.etsy.com/uk/shop/RazorStoneArchery
2162,4.9778,"Ullapool, United Kingdom",CraftLinds,10202,2014,https://www.etsy.com/uk/shop/CraftLinds
38,4.9615,"Greenville, South Carolina",LIBERTYSEWINGSERVICE,385,2015,https://www.etsy.com/uk/shop/LIBERTYSEWINGSERVICE
124,4.9435,,LuxOccultSupply,309,2018,https://www.etsy.com/uk/shop/LuxOccultSupply
113,5,"Cloudcroft, New Mexico",TheDarkMarkCo,436,2013,https://www.etsy.com/uk/shop/TheDarkMarkCo
129,4.9821,"Kharkiv, Ukraine",TinSkulptures,727,2016,https://www.etsy.com/uk/shop/TinSkulptures
87,4.954,,AyaliStudio,964,2019,https://www.etsy.com/uk/shop/AyaliStudio
579,4.9264,"Dnipro, Ukraine",VikingGoodsStore,2371,2017,https://www.etsy.com/uk/shop/VikingGoodsStore
3363,4.9097,,MAGICrebEL,16486,2012,https://www.etsy.com/uk/shop/MAGICrebEL
1286,4.9893,"Wurtsboro, New York",arwendesigns,4788,2009,https://www.etsy.com/uk/shop/arwendesigns
938,4.939,"Brooklyn, New York",TATTOOSBYFRENZYFLARE,8874,2015,https://www.etsy.com/uk/shop/TATTOOSBYFRENZYFLARE
16,4.9375,"Sioux Falls, South Dakota",HeathenByNature,68,2018,https://www.etsy.com/uk/shop/HeathenByNature
2207,4.91505039638,"Barcelona, Spain",TTTattoodotcom,12606,2014,https://www.etsy.com/uk/shop/TTTattoodotcom
864,4.9834,"Springfield, Illinois",NeatPrettyCutFiles,17327,2017,https://www.etsy.com/uk/shop/NeatPrettyCutFiles
631,4.9522,"Carmarthen, United Kingdom",Touchwoodcraft,2133,2010,https://www.etsy.com/uk/shop/Touchwoodcraft
2,5,"Minsk, Belarus",YotunsWorksop,11,2019,https://www.etsy.com/uk/shop/YotunsWorksop
1062,4.9381,,BeadPatchSupplies,4388,2013,https://www.etsy.com/uk/shop/BeadPatchSupplies
156,4.8739,"Niagara Falls, New York",ThePlugCrate,832,2017,https://www.etsy.com/uk/shop/ThePlugCrate
234,4.9785,"Portland, Oregon",ValkyrieBeardCare,831,2017,https://www.etsy.com/uk/shop/ValkyrieBeardCare
30,5,"San Diego, California",GiggleGarb,108,2012,https://www.etsy.com/uk/shop/GiggleGarb
13723,4.9256,"Fairbanks, Alaska",Mamachee,75254,2008,https://www.etsy.com/uk/shop/Mamachee
740,4.9157,"Kharkiv, Ukraine",KharkivForge,2722,2016,https://www.etsy.com/uk/shop/KharkivForge
631,5,"Stromsburg, Nebraska",HeddlesandTreadles,2653,2011,https://www.etsy.com/uk/shop/HeddlesandTreadles
124,5,,ChaltonStore,682,2015,https://www.etsy.com/uk/shop/ChaltonStore
10958,4.9037,"Prague, Czechia",WulflundJewelry,43656,2013,https://www.etsy.com/uk/shop/WulflundJewelry
111,4.9192,"Blue Mounds, Wisconsin",HappyHollowWoodCraft,485,2017,https://www.etsy.com/uk/shop/HappyHollowWoodCraft
469,4.9528,"Pirkkala, Finland",KvenlandForgeworks,1939,2015,https://www.etsy.com/uk/shop/KvenlandForgeworks
97,4.974,"Ternopil, Ukraine",WoodCarvedSculptures,373,2017,https://www.etsy.com/uk/shop/WoodCarvedSculptures
729,4.9052,,WarmHearthCreations,3235,2016,https://www.etsy.com/uk/shop/WarmHearthCreations
183,4.9563,,KelticKaravan,621,2018,https://www.etsy.com/uk/shop/KelticKaravan
56,4.7818,,Superblades,344,2018,https://www.etsy.com/uk/shop/Superblades
284,4.9763,,Markswallartdecor,929,2017,https://www.etsy.com/uk/shop/Markswallartdecor
24,5,,greengames,147,2012,https://www.etsy.com/uk/shop/greengames
51,4.8627,"New York, United States",VikingsScandinavian,312,2018,https://www.etsy.com/uk/shop/VikingsScandinavian
