comment_counts,name,comment_value,since,sales,url,location
643,LetmeseeyouSparkle,4.899,2013,2478,https://www.etsy.com/uk/shop/LetmeseeyouSparkle,"Phoenix, Arizona"
1049,PartyPoshDesigns,4.8358,2016,6347,https://www.etsy.com/uk/shop/PartyPoshDesigns,"Newark, New Jersey"
1580,BasketfulOfGrace,4.9926,2014,8684,https://www.etsy.com/uk/shop/BasketfulOfGrace,"Williamstown, New Jersey"
6323,IMEJEWELRY,4.903,2015,40705,https://www.etsy.com/uk/shop/IMEJEWELRY,"Carrollton, Texas"
1529,fitjewelsSF,4.8581,2014,10654,https://www.etsy.com/uk/shop/fitjewelsSF,"San Francisco, California"
1478,ImagineInSilver,4.568,2016,16372,https://www.etsy.com/uk/shop/ImagineInSilver,
1401,msmayabowtique,4.9678,2017,7879,https://www.etsy.com/uk/shop/msmayabowtique,
2000,pogofandango,4.9932,2010,10566,https://www.etsy.com/uk/shop/pogofandango,"Penryn, United Kingdom"
2269,ConfettiGiftCompany,4.9563,2015,19107,https://www.etsy.com/uk/shop/ConfettiGiftCompany,"Laguna Beach, California"
2900,AKeyToHerHeart,4.8056,2013,15760,https://www.etsy.com/uk/shop/AKeyToHerHeart,
1707,LovableGiftCo,4.9268,2016,11718,https://www.etsy.com/uk/shop/LovableGiftCo,"Phoenix, Arizona"
1375,SpunkyStylesCo,4.9366,2017,6472,https://www.etsy.com/uk/shop/SpunkyStylesCo,"Painesville, Ohio"
3969,MamiesTreasuresShop,4.9872,2016,31818,https://www.etsy.com/uk/shop/MamiesTreasuresShop,"London, Kentucky"
3323,WalawalaStudio,4.7543,2017,31282,https://www.etsy.com/uk/shop/WalawalaStudio,"Los Angeles, California"
954,MissPrintableStudio,4.9011,2015,9178,https://www.etsy.com/uk/shop/MissPrintableStudio,
355,InfoGreetings,5,2013,3306,https://www.etsy.com/uk/shop/InfoGreetings,"Los Angeles, California"
2597,BottlesUncorked,4.9448,2015,14382,https://www.etsy.com/uk/shop/BottlesUncorked,"Fredericksburg, Virginia"
7400,BlueOakCreations,4.9487,2014,37730,https://www.etsy.com/uk/shop/BlueOakCreations,"Livingston, Texas"
23579,NewMoonBeginnings,4.9255,2014,107837,https://www.etsy.com/uk/shop/NewMoonBeginnings,"Pittsburgh, Pennsylvania"
2962,lulusugar,4.9298,2013,15996,https://www.etsy.com/uk/shop/lulusugar,"Rancho Santa Margarita, California"
243,MackandMabel,5,2010,2770,https://www.etsy.com/uk/shop/MackandMabel,"Solihull, United Kingdom"
5298,Tattoorary,4.92920557084,2014,51727,https://www.etsy.com/uk/shop/Tattoorary,"Sneek, The Netherlands"
1167,KRMaps,4.9076,2016,10734,https://www.etsy.com/uk/shop/KRMaps,"Fort Collins, Colorado"
2531,huiyitan,4.8421,2009,12855,https://www.etsy.com/uk/shop/huiyitan,"Par, United Kingdom"
1386,SolForge,4.8682,2015,14589,https://www.etsy.com/uk/shop/SolForge,"Olympia, Washington"
5006,DivineGlitters,4.9581,2014,22908,https://www.etsy.com/uk/shop/DivineGlitters,"Washington, Utah"
532,tammnoony,4.5625,2008,3033,https://www.etsy.com/uk/shop/tammnoony,"Tel Aviv, Israel"
5387,byMilaDesign,4.9614,2015,29046,https://www.etsy.com/uk/shop/byMilaDesign,"New York, United States"
172,CrochetWithHalline,4.87950481928,2017,4149,https://www.etsy.com/uk/shop/CrochetWithHalline,"Cerekvice nad Loučnou, Czechia"
1418,MadeByMePatterns,4.9634,2016,23271,https://www.etsy.com/uk/shop/MadeByMePatterns,"Łódź, Poland"
4595,HouseofMetalworks,4.9459,2012,28723,https://www.etsy.com/uk/shop/HouseofMetalworks,"Emmaus, Pennsylvania"
438,KnottyMonkey,4.95,2011,1721,https://www.etsy.com/uk/shop/KnottyMonkey,"Stillwater, Oklahoma"
588,SadiSoBoutique,4.9723,2016,2175,https://www.etsy.com/uk/shop/SadiSoBoutique,"Dunn, North Carolina"
5217,LILAxLOLA,4.9651,2015,107085,https://www.etsy.com/uk/shop/LILAxLOLA,"Bright, Australia"
10881,FatandtheMoon,4.9301,2011,51404,https://www.etsy.com/uk/shop/FatandtheMoon,"Grass Valley, California"
614,willowynn,4.949,2013,5200,https://www.etsy.com/uk/shop/willowynn,"Bangalow, Australia"
10482,Na0sGlass,4.9909,2007,26961,https://www.etsy.com/uk/shop/Na0sGlass,"Arvada, Colorado"
1126,OhLittleMia,4.9248,2016,6802,https://www.etsy.com/uk/shop/OhLittleMia,"Miami, Florida"
758,catonealdesigns,5,2011,3480,https://www.etsy.com/uk/shop/catonealdesigns,"Franklin, Tennessee"
3355,Ziime,4.9027,2016,28903,https://www.etsy.com/uk/shop/Ziime,"Blaine, Washington"
2725,KreativeEarth,4.9261,2014,13906,https://www.etsy.com/uk/shop/KreativeEarth,"Plainfield, Illinois"
1156,MixPixBox,4.9177,2014,25358,https://www.etsy.com/uk/shop/MixPixBox,
1907,TheroseNrose,4.8958,2017,13487,https://www.etsy.com/uk/shop/TheroseNrose,"Los Angeles, California"
1289,BirthdayTeesCo,4.5639,2016,9187,https://www.etsy.com/uk/shop/BirthdayTeesCo,
112,GabiGerArt,5,2014,512,https://www.etsy.com/uk/shop/GabiGerArt,"Tel Aviv, Israel"
1098,Beadsvalley,4.8887,2017,7552,https://www.etsy.com/uk/shop/Beadsvalley,"Los Angeles, California"
6136,storiarts,4.9589,2011,43458,https://www.etsy.com/uk/shop/storiarts,"Portland, Oregon"
327,ZanesUniqueGifts,4.9909,2017,2048,https://www.etsy.com/uk/shop/ZanesUniqueGifts,"Wigan, United Kingdom"
1899,WoodenEngravedShop,4.9157,2015,11364,https://www.etsy.com/uk/shop/WoodenEngravedShop,"Dnipro, Ukraine"
245,RoweStationWoodworks,4.9126,2016,1722,https://www.etsy.com/uk/shop/RoweStationWoodworks,"New Gloucester, Maine"
548,OMySoulStudio,4.9941,2014,2194,https://www.etsy.com/uk/shop/OMySoulStudio,"Grants Pass, Oregon"
4538,CharleyCharlesNylon,4.995,2017,26459,https://www.etsy.com/uk/shop/CharleyCharlesNylon,"Grand Rapids, Michigan"
543,KinderClothOrganics,4.9837,2017,3633,https://www.etsy.com/uk/shop/KinderClothOrganics,"Madison, Wisconsin"
2080,Logolane,4.8235,2009,6812,https://www.etsy.com/uk/shop/Logolane,"Nashville, Tennessee"
2392,Benittamoko,4.9067,2015,26913,https://www.etsy.com/uk/shop/Benittamoko,"Tel Aviv, Israel"
5966,McLaughlinCreations,4.9176,2011,46216,https://www.etsy.com/uk/shop/McLaughlinCreations,"Talking Rock, Georgia"
1191,CraftBoxDesignStudio,4.9865,2017,6195,https://www.etsy.com/uk/shop/CraftBoxDesignStudio,"Church Hill, Tennessee"
730,DMarieInteriors,4.8951,2014,5260,https://www.etsy.com/uk/shop/DMarieInteriors,"Ellensburg, Washington"
1510,EchoClubHouse,4.8446,2014,5544,https://www.etsy.com/uk/shop/EchoClubHouse,"Los Angeles, California"
2660,TheLovelyDesigns,4.9687,2014,23118,https://www.etsy.com/uk/shop/TheLovelyDesigns,
