url,airline,rank,,
http://www.aa.com/i18n/travelInformation/specialAssistance/pets.jsp,American Airlines,1,,
http://www.delta.com/content/www/en_US/traveling-with-us/special-travel-needs/pets/pet-travel-options.html,Delta Airlines,2,,
http://www.united.com/web/en-US/content/travel/animals/default.aspx,United Airlines,3,,
https://www.emirates.com/english/help/faq/544304/what-are-the-rules-and-charges-for-travelling-with-animals,Emirates,4,,
http://www.southwest.com/pets/,Southwest Airlines,5,,
https://www.csair.com/en/tourguide/luggage_service/special_baggage/pets/,China Southern Airlines,6,,
https://www.ryanair.com/us/en/useful-info/help-centre/faq-overview/Baggage/Can-I-bring-my-pet-on-the-flight,Ryanair,7,,
https://www.britishairways.com/en-us/information/travel-assistance/travelling-with-pets,British Airways,9,,
https://www.qatarairways.com/en/baggage/animals.html,Qatar Airways,10,,
https://www.airfrance.us/US/en/common/voyage-en-avion/preparation-voyage/animaux-avion.htm,Air France,11,,
http://us.ceair.com/en/content/information/ticketing/small-animal-transport,China Eastern,12,,
http://www.airchina.com.cn/en/info_and_services/tslk/dog02.shtml,Air China,13,,
https://www.turkishairlines.com/en-us/any-questions/traveling-with-pets/,Turkish Airlines,14,,
http://www.aircanada.com/en/travelinfo/airport/baggage/pets.html,Air Canada,15,,
https://www.cathaypacific.com/cx/en_US/travel-information/help-for-passengers/travelling-with-animals/overview.html,Cathay Dragon,15,,
https://www.aeroflot.ru/us-en/information/preparation/special_transportation/animals,Rossiya,17,,
https://www.klm.com/travel/us_en/prepare_for_travel/travel_planning/pets/index.htm,KLM Royal Dutch Airlines,18,,
https://www.singaporeair.com/en_UK/us/travel-info/special-assistance/travelling-with-pets/,Singapore Airlines,19,,
https://www.etihadcargo.com/en-ae/productandservices/premium-products-services/liveanimals.html,Etihad,20,,
https://www.ana.co.jp/en/us/serviceinfo/international/support/pets/,All Nippon Airlines,21,,
http://www.easyjet.com/en/help/baggage/restricted-and-unusual-items,easyjet,22,,
https://www.qantas.com/travel/airlines/travelling-with-pets/global/en,Qantas,23,,
https://www.koreanair.com/global/en/traveling/services/pets/pet-travel-charges.html,Korean Air,24,,
http://www.jetblue.com/jetpaws/,JetBlue,25,,
https://www.jal.co.jp/en/inter/support/pet/,Japan Airlines,26,,
https://www.thaiairways.com/en/plan_my_trip/travel_information/Pet_Travel.page,Thai Airways,27,,
https://www.latam.com/en_us/travel-information/traveling-with-pets/,LATAM Airlines,28,,
https://www.hainanairlines.com/go/DOCS/pets%20en.pdf,Hainan Airlines,29,,
https://www.saudia.com/TRAVEL-WITH-SAUDIA/Special-Travel-Needs/Pets-on-board,Saudia,30,,
http://www.alaskaair.com/as/www2/help/faqs/Traveling-With-Pets.asp,Alaska Airlines,31,,
https://www.iberia.com/us/fly-with-iberia/pets/,Iberia,31,,
https://www.norwegian.com/en/travel-info/baggage/travelling-with-pets/,Norwegian,33,,
https://www.jetairways.com/en/us/travelinformation/travelling-with-pets.aspx,Jet Airways,39,,
http://www.airindia.in/new-pets.htm,Air India,40,,
http://www.evaair.com/en-us/managing-your-trip/baggage-information/travelling-with-pets/,Eva Airways,41,,
https://www.china-airlines.com/it/en/fly/prepare-for-the-fly/baggage/pets,China Airlines,42,,
https://www.westjet.com/en-ca/travel-info/pets,WestJet,43,,
https://www.avianca.com/co/en/travel-information/plan-your-trip/baggage/pets-on-board,Avianca,45,,
https://www.virginatlantic.com/us/en/travel-information/special-flight-requirements/flying-with-pets.html,Virgin Atlantic,48,,
https://customersupport.spirit.com/hc/en-us/articles/202096926-Does-Spirit-Airlines-allow-pets-on-board-,Spirit Airlines,53,,
https://www.flyfrontier.com/travel-information/family-pets/,Frontier Airlines,72,,
http://www.hawaiianair.com/Programs/Pages/PetTravelInformation.aspx,Hawaiian Airlines,73,,
http://en.aegeanair.com/travel-information/travel-guide/travelling-with-pets/,Aegean Airlines,,,
https://www.aerlingus.com/travel-information/baggage-information/travelling-with-pets/#/tab-0-flights-within-europe,Aer Lingus,,,
https://www.aeroflot.ru/us-en/information/preparation/special_transportation/animals,Aeroflot,,,
http://www.aerolineas.com.ar/en-au/serviciosespeciales/index/8_other-special-services,Aerolineas Argentinas,,,
https://aeromexico.com/en-us/travel-information/flying-with-pets,Aeromexico,,,
https://www.aigle-azur.com/en/your-trip/additional-options/pets,Aigle Azur,,,
https://airalgerie.dz/en/travel-experience/baggage/travel-with-pets/,Air Algerie,,,
https://airastana.com/uae/Experience-Air-Astana/Special-Services/Carriage-of-Pets,Air Astana,,,F
https://www.air-austral.com/en/prepare-your-flight/special-requests/travelling-with-pet.html,Air Austral,,,
https://www.aircaraibes.com/services/avant-le-vol/animaux,Air Caraibes,,,
https://www.aircorsica.com/flights/transporting-animals.html,Air Corsica,,,
https://www.aireuropa.com/en/flights/passengers,Air Europa,,,
https://www.airitaly.com/us/optionalfees/all_optional_fees.html#animali,Air Italy,,,
https://www.airmalta.com/information/customer-support/travelling-with-pets,Air Malta,,,
https://www.airmauritius.com/baggageCC.htm,Air Mauritius,,,
https://www.airmoldova.md/pets-transportation-en/,Air Moldova,,,
https://www.airnewzealand.com/travelling-with-pets,Air New Zealand,,,
https://www.airserbia.com/en/pets,Air Serbia,,,
https://www.airtransat.com/en-CA/Travel-information/Special-services/Pets-and-service-dogs,Air Transat,,,
https://www.airbaltic.com/en/travelling-with-pets,airBaltic,,,
https://www.alitalia.com/en_us/fly-alitalia/organize-your-trip/pets.html,Alitalia,,,
https://www.allegiantair.com/traveling-with-pets,Allegiant,,,
https://us.flyasiana.com/C/en/homepage.do?menuId=003008011001000&menuType=CMS,Asiana Airlines,,,
http://www.aslairlines.fr/en/travellers-information/prepare-your-trip/pets/,ASL Airlines France,,,
http://www.aslairlines.ie/traveling-with-us/single/before-your-flight,ASL Airlines Ireland,,,
https://www.atlantic.fo/en/travel-info/before-flying/booking/pets/,Atlantic Airways,,,
https://www.atlasglb.com/en/private-needs/,Atlas Global,,,
http://www.flyaurora.ru/en/passengers/carriage-rules/transportation-animals/,Aurora Airlines,,,
https://www.austrian.com/Info/Flying/TransportationAnimals.aspx?sc_lang=en&cc=US,Austrian Airlines,,,
https://www.azoresairlines.pt/en/information/special-services/travelling-with-pets,Azores Airlines,,,
https://www.voeazul.com.br/en/for-your-trip/international-flights/pets,Azul,,,
http://www.bangkokair.com/traveling-with-pet,Bangkok Airways,,,
https://en.belavia.by/carriage_of_animals/,Belavia Airlines,,,
https://www.bhairlines.com,BH Airline,,,
