cn_count,street_code
2,e77
1,tq8
54,la9
59,wn4
247,m34
420,ct1
10,dd9
200,co1
115,de6
87,ca1
705,l1
322,pa1
152,g9
957,hu5
533,ts1
1742,nw9
1358,nw6
6,ta7
230,so4
23,b47
13,ba6
954,co4
167,l44
212,ub3
231,g42
70,ta6
229,rm6
105,tq2
82,gu6
287,g41
51,ka9
19,dn8
1183,cr4
453,lu2
684,n11
251,ub4
31,cw4
184,tf2
156,l5
55,pa5
36,b35
837,l6
9,td7
60,wf8
2,pa9
44,s81
120,hu1
214,nn5
246,bl9
22,hr8
393,sl3
111,ss6
65,wf4
167,b92
279,mk5
717,ng2
89,po9
139,st3
356,ha0
113,s98
81,sy8
725,m4
36,wf5
30,ml9
303,b42
759,cv5
448,bh1
985,g20
417,fk8
44,l30
115,b67
80,s42
379,cm2
611,sm1
526,ha5
345,m21
154,ex5
220,da5
541,br1
895,po5
67,dh3
59,sl0
91,bb6
398,wd6
95,s71
177,fy1
182,s12
296,wd3
318,nn4
44,st9
95,ol2
5,ka4
246,w1w
37,wd4
702,m20
289,m35
79,ol1
51,pr3
165,ct9
199,al4
97,w1j
24,tr4
1323,nw3
36,bl7
139,l11
10,ta5
766,po1
125,hx1
38,g78
72,rg8
523,br3
10,b96
589,sl6
27,rh7
220,ln6
533,bs2
214,kt9
795,m3
51,ts7
187,mk8
379,le5
275,bs5
70,ub2
13,ip6
31,bn6
238,al5
140,me5
196,dd4
412,s6
689,w1p
1979,cr0
254,g64
462,ls9
258,al7
8,l68
512,l12
3102,se1
111,ab4
539,lu1
52,co6
408,rh1
135,s75
244,g32
345,eh7
164,pe3
22,ka6
244,wv6
27,l71
324,bs9
1,td4
285,m22
833,ls6
637,ls1
654,ub6
793,b4
101,wr1
6,b99
34,tf7
417,cr7
62,dh8
54,tq4
42,rh8
292,ss1
177,tw4
42,cr6
8,tr5
300,hp2
12,dl4
303,n10
152,en8
22,ts6
73,sl7
496,b31
30,wv5
178,cw1
1611,ex4
101,ab5
276,g13
1549,g3
289,rg4
8,g60
44,ws8
565,dd1
755,b16
593,w1t
205,bs3
252,ig5
291,ip3
181,dn1
200,s40
148,ub1
186,nr3
197,po3
1117,se5
50,gl5
165,wf2
129,ip5
161,l63
1437,ng9
205,ws2
195,b73
28,wr6
5,dg6
106,da2
128,rh2
102,st7
164,wa7
404,da7
129,ng4
123,ig9
63,w1s
502,sr1
226,b2
482,w1d
10,s49
514,m6
401,ig2
215,hd4
335,bl2
291,b19
35,dl9
618,en5
80,b78
188,bd4
220,mk3
391,e7
195,sk2
345,mk6
532,w13
89,ox7
165,ts5
172,bh7
142,b66
789,b17
21,ta4
141,s31
139,ta2
1292,bn1
131,ox9
513,g33
18,dd7
716,gu1
50,ws7
202,pr5
166,po6
200,ng6
51,dy3
41,ts8
417,kt5
130,hp7
150,s65
136,dn2
293,pr8
62,ss4
225,sn2
1293,m60
1171,e15
332,ss2
86,dh6
487,m19
128,fk7
70,b70
10,s97
3,iv6
402,ig6
306,l43
45,wf9
245,n21
28,b46
93,g62
1285,so1
136,ol4
228,m26
109,s20
146,gu9
221,sn1
433,m5
150,br4
311,en3
54,tr7
8,b40
467,ha7
4,td5
639,ne8
13,tq5
223,ln2
354,m28
42,g45
258,br7
179,b27
1062,ox1
24,ta9
83,tn6
144,g44
126,l26
292,bb2
459,b23
207,bn4
180,g46
167,hu9
26,me9
14,ky3
58,tq3
4,hs1
259,st6
16,ex3
1438,ne4
170,sr5
568,sw4
191,lu6
161,s41
615,wd1
170,b28
37,b93
486,n19
135,b74
703,m8
2,ze3
174,b60
182,g5
161,dy1
2369,ng7
75,hu7
410,b18
24,l28
2,ph5
179,sg4
963,n22
11,dt7
1169,w5
226,en2
136,cw7
104,hd7
