,first_postcode
0,E77
1,L1 
2,DD9
3,M34
4,CA1
5,WN4
6,CO1
7,CT1
8,TQ8
9,LA9
10,DE6
11,NW9
12,PA1
13,TS1
14,HU5
15,G9 
16,SO4
17,NW6
18,TA7
19,B47
20,BA6
21,CO4
22,L44
23,UB3
24,G42
25,TA6
26,RM6
27,TQ2
28,GU6
29,G41
30,KA9
31,DN8
32,CR4
33,LU2
34,N11
35,UB4
36,CW4
37,TF2
38,L5 
39,PA5
40,B35
41,L6 
42,TD7
43,WF8
44,PA9
45,S81
46,HU1
47,NN5
48,BL9
49,HR8
50,SL3
51,SS6
52,WF4
53,B92
54,MK5
55,HS5
56,NG2
57,PO9
58,ST3
59,HA0
60,S98
61,SY8
62,M4 
63,WF5
64,ML9
65,B42
66,CV5
67,BH1
68,G20
69,FK8
70,L30
71,B67
72,S42
73,CM2
74,SM1
75,HA5
76,M21
77,EX5
78,DA5
79,BR1
80,PO5
81,SW1
82,DH3
83,SL0
84,BB6
85,WD6
86,S71
87,FY1
88,S12
89,WD3
90,NN4
91,ST9
92,OL2
93,KA4
94,W1W
95,WD4
96,M20
97,OL1
98,M35
99,CT9
100,AL4
101,PR3
102,G70
103,W1J
104,TR4
105,NW3
106,BL7
107,L11
108,TA5
109,PO1
110,HX1
111,G78
112,RG8
113,BR3
114,B96
115,SL6
116,RH7
117,CH7
118,LN6
119,BS2
120,KT9
121,M3 
122,CF9
123,TS7
124,MK8
125,HS8
126,LE5
127,BS5
128,UB2
129,IP6
130,BN6
131,AL5
132,LL7
133,ME5
134,EC4
135,DD4
136,S6 
137,W1P
138,CR0
139,G64
140,LS9
141,AL7
142,L68
143,L12
144,SE1
145,AB4
146,LU1
147,CO6
148,HS6
149,RH1
150,S75
151,G32
152,EH7
153,PE3
154,KA6
155,WV6
156,L71
157,BS9
158,TD4
159,M22
160,LS6
161,LS1
162,UB6
163,B4 
164,WC1
165,WR1
166,B99
167,TF7
168,CR7
169,DH8
170,TQ4
171,RH8
172,SS1
173,TW4
174,CR6
175,TR5
176,HP2
177,DL4
178,N10
179,EN8
180,TS6
181,IV9
182,SL7
183,B31
184,WV5
185,CW1
186,EX4
187,AB5
188,G13
189,G3 
190,RG4
191,G60
192,WS8
193,DD1
194,B16
195,W1T
196,BS3
197,IG5
198,LD4
199,IP3
200,DN1
201,S40
202,UB1
203,NR3
204,PO3
205,SE5
206,GL5
207,WF2
208,IP5
209,L63
210,NG9
211,WS2
212,B73
213,WR6
214,DG6
215,DA2
216,HS4
217,RH2
218,ST7
219,WA7
220,DA7
221,NG4
222,IG9
223,W1S
224,SR1
225,B2 
226,W1D
227,S49
228,M6 
229,IG2
230,HD4
231,BL2
232,B19
233,DL9
234,EN5
235,B78
236,BD4
237,MK3
238,E7 
239,MK6
240,SK2
241,W13
242,OX7
243,TS5
244,BH7
245,B66
246,B17
247,TA4
248,HR3
249,S31
250,TA2
251,BN1
252,OX9
253,G33
254,DD7
255,GU1
256,WS7
257,PR5
258,PO6
259,NG6
260,DY3
261,TS8
262,KT5
263,HP7
264,S65
265,DN2
266,PR8
267,SS4
268,SN2
269,M60
270,E15
271,SS2
272,DH6
273,M19
274,FK7
275,B70
276,S97
277,IV6
278,IG6
279,L43
280,WF9
281,N21
282,B46
283,G62
284,KW5
285,SO1
286,OL4
287,M26
288,S20
289,GU9
290,SN1
291,M5 
292,LD5
293,BR4
294,EN3
295,TR7
296,B40
297,HA7
298,TD5
299,NE8
300,TQ5
301,LN2
302,M28
303,G45
304,BR7
305,B27
306,OX1
307,TA9
308,TN6
309,G44
310,BB2
311,L26
312,B23
313,BN4
314,G46
315,HU9
316,ME9
317,KY3
318,TQ3
319,HS1
320,ST6
321,EX3
322,NE4
323,SR5
324,SW4
325,LU6
326,SA8
327,S41
328,WD1
329,B28
330,B93
331,N19
332,CF6
333,B74
334,M8 
335,ZE3
336,B60
337,DY1
338,G5 
339,HU7
340,NG7
341,B18
342,L28
343,PH5
344,SG4
345,WC2
346,N22
347,DT7
348,W5 
349,EN2
350,CW7
351,HD7
352,NP9
353,SS8
354,G58
355,TN5
