,ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
0,0.588,10.0,0.04,,0.629,,rg1 1aw,0.40700000000000003
1,0.588,10.0,0.04,,0.629,,rg1 1an,0.40700000000000003
2,0.588,10.0,0.04,,0.629,,rg1 1al,0.40700000000000003
3,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1au,0.44799999999999995
4,0.588,10.0,0.04,,0.629,,rg1 1ba,0.40700000000000003
5,0.588,10.0,0.04,,0.629,,rg1 1bd,0.40700000000000003
6,0.514,5.0,0.013999999999999999,,0.385,,rg1 1ax,0.752
7,0.514,5.0,0.013999999999999999,,0.385,,rg1 1at,0.752
8,0.433,3.0,0.012,,0.544,,rg1 1be,0.644
9,0.433,3.0,0.012,,0.544,,rg1 1bf,0.644
10,0.514,5.0,0.013999999999999999,,0.385,,rg1 1bp,0.752
11,0.514,5.0,0.013999999999999999,,0.385,,rg1 1az,0.752
12,0.514,5.0,0.013999999999999999,,0.385,,rg1 1af,0.752
13,0.588,10.0,0.04,,0.629,,rg1 1bs,0.40700000000000003
14,0.588,10.0,0.04,,0.629,,rg1 1bt,0.40700000000000003
15,0.514,5.0,0.013999999999999999,,0.385,,rg1 1aj,0.752
16,0.514,5.0,0.013999999999999999,,0.385,,rg1 1ay,0.752
17,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ah,0.44799999999999995
18,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1as,0.44799999999999995
19,0.514,5.0,0.013999999999999999,,0.385,,rg1 1da,0.752
20,0.588,10.0,0.04,,0.629,,rg1 1bg,0.40700000000000003
21,0.588,10.0,0.04,,0.629,,rg1 1bw,0.40700000000000003
22,0.588,10.0,0.04,,0.629,,rg1 1de,0.40700000000000003
23,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1bz,0.44799999999999995
24,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1bx,0.44799999999999995
25,0.588,10.0,0.04,,0.629,,rg1 1df,0.40700000000000003
26,0.514,5.0,0.013999999999999999,,0.385,,rg1 1bb,0.752
27,0.588,10.0,0.04,,0.629,,rg1 1dj,0.40700000000000003
28,0.433,3.0,0.012,,0.544,,rg1 1aa,0.644
29,0.588,10.0,0.04,,0.629,,rg1 1by,0.40700000000000003
30,0.588,10.0,0.04,,0.629,,rg1 1db,0.40700000000000003
31,0.588,10.0,0.04,,0.629,,rg1 1dg,0.40700000000000003
32,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1dr,0.44799999999999995
33,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1bj,0.44799999999999995
34,0.588,10.0,0.04,,0.629,,rg1 1dq,0.40700000000000003
35,0.514,5.0,0.013999999999999999,,0.385,,rg1 1ar,0.752
36,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1dw,0.44799999999999995
37,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1dx,0.44799999999999995
38,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1dy,0.44799999999999995
39,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1dz,0.44799999999999995
40,0.374,,,,0.767,,rg1 1dd,0.7090000000000001
41,0.514,5.0,0.013999999999999999,,0.385,,rg1 1ag,0.752
42,0.588,10.0,0.04,,0.629,,rg1 1bh,0.40700000000000003
43,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ed,0.44799999999999995
44,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1eg,0.44799999999999995
45,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ea,0.44799999999999995
46,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ds,0.44799999999999995
47,0.588,10.0,0.04,,0.629,,rg1 1bu,0.40700000000000003
48,0.588,10.0,0.04,,0.629,,rg1 1dh,0.40700000000000003
49,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ep,0.44799999999999995
50,0.433,3.0,0.012,,0.544,,rg1 1bl,0.644
51,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1dt,0.44799999999999995
52,0.588,10.0,0.04,,0.629,,rg1 1es,0.40700000000000003
53,0.588,10.0,0.04,,0.629,,rg1 1dn,0.40700000000000003
54,0.588,10.0,0.04,,0.629,,rg1 1eh,0.40700000000000003
55,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ef,0.44799999999999995
56,0.588,10.0,0.04,,0.629,,rg1 1eu,0.40700000000000003
57,0.45799999999999996,3.0,0.013000000000000001,,0.601,,rg1 1en,0.613
58,0.45799999999999996,3.0,0.013000000000000001,,0.601,,rg1 1el,0.613
59,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1dp,0.44799999999999995
60,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1fb,0.44799999999999995
61,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1fd,0.44799999999999995
62,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ff,0.44799999999999995
63,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1fg,0.44799999999999995
64,0.433,3.0,0.012,,0.544,,rg1 1du,0.644
65,0.588,10.0,0.04,,0.629,,rg1 1ex,0.40700000000000003
66,0.433,3.0,0.012,,0.544,,rg1 1fl,0.644
67,0.45799999999999996,3.0,0.013000000000000001,,0.601,,rg1 1bq,0.613
68,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ej,0.44799999999999995
69,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1fq,0.44799999999999995
70,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1fp,0.44799999999999995
71,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1fs,0.44799999999999995
72,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1et,0.44799999999999995
73,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1fu,0.44799999999999995
74,0.588,10.0,0.04,,0.629,,rg1 1ez,0.40700000000000003
75,0.588,10.0,0.04,,0.629,,rg1 1fj,0.40700000000000003
