ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
0.588,10,0.04,,0.629,,rg11aw,0.407
0.588,10,0.04,,0.629,,rg11an,0.407
0.588,10,0.04,,0.629,,rg11al,0.407
0.581,6,0.028,,0.702,,rg11au,0.448
0.588,10,0.04,,0.629,,rg11ba,0.407
0.588,10,0.04,,0.629,,rg11bd,0.407
0.514,5,0.014,,0.385,,rg11ax,0.752
0.514,5,0.014,,0.385,,rg11at,0.752
0.433,3,0.012,,0.544,,rg11be,0.644
0.433,3,0.012,,0.544,,rg11bf,0.644
0.514,5,0.014,,0.385,,rg11bp,0.752
0.514,5,0.014,,0.385,,rg11az,0.752
0.514,5,0.014,,0.385,,rg11af,0.752
0.588,10,0.04,,0.629,,rg11bs,0.407
0.588,10,0.04,,0.629,,rg11bt,0.407
0.514,5,0.014,,0.385,,rg11aj,0.752
0.514,5,0.014,,0.385,,rg11ay,0.752
0.581,6,0.028,,0.702,,rg11ah,0.448
0.581,6,0.028,,0.702,,rg11as,0.448
0.514,5,0.014,,0.385,,rg11da,0.752
0.588,10,0.04,,0.629,,rg11bg,0.407
0.588,10,0.04,,0.629,,rg11bw,0.407
0.588,10,0.04,,0.629,,rg11de,0.407
0.581,6,0.028,,0.702,,rg11bz,0.448
0.581,6,0.028,,0.702,,rg11bx,0.448
0.588,10,0.04,,0.629,,rg11df,0.407
0.514,5,0.014,,0.385,,rg11bb,0.752
0.588,10,0.04,,0.629,,rg11dj,0.407
0.433,3,0.012,,0.544,,rg11aa,0.644
0.588,10,0.04,,0.629,,rg11by,0.407
0.588,10,0.04,,0.629,,rg11db,0.407
0.588,10,0.04,,0.629,,rg11dg,0.407
0.581,6,0.028,,0.702,,rg11dr,0.448
0.581,6,0.028,,0.702,,rg11bj,0.448
0.588,10,0.04,,0.629,,rg11dq,0.407
0.514,5,0.014,,0.385,,rg11ar,0.752
0.581,6,0.028,,0.702,,rg11dw,0.448
0.581,6,0.028,,0.702,,rg11dx,0.448
0.581,6,0.028,,0.702,,rg11dy,0.448
0.581,6,0.028,,0.702,,rg11dz,0.448
0.374,,,,0.767,,rg11dd,0.709
0.514,5,0.014,,0.385,,rg11ag,0.752
0.588,10,0.04,,0.629,,rg11bh,0.407
0.581,6,0.028,,0.702,,rg11ed,0.448
0.581,6,0.028,,0.702,,rg11eg,0.448
0.581,6,0.028,,0.702,,rg11ea,0.448
0.581,6,0.028,,0.702,,rg11ds,0.448
0.588,10,0.04,,0.629,,rg11bu,0.407
0.588,10,0.04,,0.629,,rg11dh,0.407
0.581,6,0.028,,0.702,,rg11ep,0.448
0.433,3,0.012,,0.544,,rg11bl,0.644
0.581,6,0.028,,0.702,,rg11dt,0.448
0.588,10,0.04,,0.629,,rg11es,0.407
0.588,10,0.04,,0.629,,rg11dn,0.407
0.588,10,0.04,,0.629,,rg11eh,0.407
0.581,6,0.028,,0.702,,rg11ef,0.448
0.588,10,0.04,,0.629,,rg11eu,0.407
0.458,3,0.013,,0.601,,rg11en,0.613
0.458,3,0.013,,0.601,,rg11el,0.613
0.581,6,0.028,,0.702,,rg11dp,0.448
0.581,6,0.028,,0.702,,rg11fb,0.448
0.581,6,0.028,,0.702,,rg11fd,0.448
0.581,6,0.028,,0.702,,rg11ff,0.448
0.581,6,0.028,,0.702,,rg11fg,0.448
0.433,3,0.012,,0.544,,rg11du,0.644
0.588,10,0.04,,0.629,,rg11ex,0.407
0.433,3,0.012,,0.544,,rg11fl,0.644
0.458,3,0.013,,0.601,,rg11bq,0.613
0.581,6,0.028,,0.702,,rg11ej,0.448
0.581,6,0.028,,0.702,,rg11fq,0.448
0.581,6,0.028,,0.702,,rg11fp,0.448
0.581,6,0.028,,0.702,,rg11fs,0.448
0.581,6,0.028,,0.702,,rg11et,0.448
0.581,6,0.028,,0.702,,rg11fu,0.448
0.588,10,0.04,,0.629,,rg11ez,0.407
0.588,10,0.04,,0.629,,rg11fj,0.407
0.581,6,0.028,,0.702,,rg11fy,0.448
0.581,6,0.028,,0.702,,rg11fr,0.448
0.433,3,0.012,,0.544,,rg11fx,0.644
0.588,10,0.04,,0.629,,rg11ey,0.407
0.433,3,0.012,,0.544,,rg11ga,0.644
0.581,6,0.028,,0.702,,rg11gb,0.448
0.581,6,0.028,,0.702,,rg11ft,0.448
0.433,3,0.012,,0.544,,rg11fw,0.644
0.581,6,0.028,,0.702,,rg11gn,0.448
0.433,3,0.012,,0.544,,rg11gl,0.644
0.581,6,0.028,,0.702,,rg11gp,0.448
0.433,3,0.012,,0.544,,rg11gh,0.644
0.514,5,0.014,,0.385,,rg11gs,0.752
0.433,3,0.012,,0.544,,rg11gj,0.644
0.588,10,0.04,,0.629,,rg11ee,0.407
0.581,6,0.028,,0.702,,rg11gu,0.448
0.581,6,0.028,,0.702,,rg11gx,0.448
0.581,6,0.028,,0.702,,rg11eq,0.448
0.588,10,0.04,,0.629,,rg11ge,0.407
0.581,6,0.028,,0.702,,rg11fn,0.448
0.433,3,0.012,,0.544,,rg11gg,0.644
0.581,6,0.028,,0.702,,rg11fh,0.448
0.581,6,0.028,,0.702,,rg11fe,0.448
0.588,10,0.04,,0.629,,rg11er,0.407
0.588,10,0.04,,0.629,,rg11hb,0.407
0.588,10,0.04,,0.629,,rg11hh,0.407
0.588,10,0.04,,0.629,,rg11hg,0.407
0.433,3,0.012,,0.544,,rg11gt,0.644
0.398,5,0.021,,0.652,,rg11hn,0.515
0.588,10,0.04,,0.629,,rg11hp,0.407
0.433,3,0.012,,0.544,,rg11gz,0.644
0.514,5,0.014,,0.385,,rg11gw,0.752
0.588,10,0.04,,0.629,,rg11hf,0.407
0.514,5,0.014,,0.385,,rg11ht,0.752
0.514,5,0.014,,0.385,,rg11hu,0.752
0.514,5,0.014,,0.385,,rg11he,0.752
0.514,5,0.014,,0.385,,rg11hw,0.752
0.433,3,0.012,,0.544,,rg11hq,0.644
0.588,10,0.04,,0.629,,rg11hd,0.407
0.514,5,0.014,,0.385,,rg11hy,0.752
0.588,10,0.04,,0.629,,rg11hx,0.407
0.514,5,0.014,,0.385,,rg11hz,0.752
0.581,6,0.028,,0.702,,rg11ja,0.448
0.514,5,0.014,,0.385,,rg11je,0.752
0.433,3,0.012,,0.544,,rg11gd,0.644
0.588,10,0.04,,0.629,,rg11ew,0.407
0.398,5,0.021,,0.652,,rg11jh,0.515
0.588,10,0.04,,0.629,,rg11jd,0.407
0.581,6,0.028,,0.702,,rg11gr,0.448
0.514,5,0.014,,0.385,,rg11jn,0.752
0.588,10,0.04,,0.629,,rg11jj,0.407
0.588,10,0.04,,0.629,,rg11jg,0.407
0.581,6,0.028,,0.702,,rg11ju,0.448
0.588,10,0.04,,0.629,,rg11js,0.407
0.514,5,0.014,,0.385,,rg11hs,0.752
0.514,5,0.014,,0.385,,rg11jw,0.752
0.374,,,,0.767,,rg11jf,0.709
0.588,10,0.04,,0.629,,rg11jx,0.407
0.581,6,0.028,,0.702,,rg11la,0.448
0.581,6,0.028,,0.702,,rg11jz,0.448
0.581,6,0.028,,0.702,,rg11lb,0.448
0.514,5,0.014,,0.385,,rg11jq,0.752
0.581,6,0.028,,0.702,,rg11lg,0.448
