ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
0.223,1,0.003,,0.5,,rg121jf,0.877
0.131,,,,0.301,,rg20ad,0.541
0.223,1,0.003,,0.5,,rg121jz,0.877
0.235,7,0.023,,0.458,,rg20af,0.752
0.376,11,0.04,,0.565,,rg20ag,0.606
0.248,7,0.02,,0.44,,rg121jr,0.914
0.103,,,,0.31,,rg20ah,0.58
0.374,,,,0.767,,rg20al,0.709
0.087,,,,0.462,,rg121jg,0.91
0.202,3,0.01,,0.422,,rg20aa,0.726
0.131,,,,0.301,,rg20aq,0.541
0.374,,,,0.767,,rg20aj,0.709
0.087,,,,0.462,,rg121jx,0.91
0.437,3,0.011,,0.621,,rg20at,0.684
0.087,,,,0.462,,rg121ln,0.91
0.131,,,,0.301,,rg20aw,0.541
0.159,,,,0.419,,rg20au,0.636
0.087,,,,0.462,,rg121lb,0.91
0.131,,,,0.301,,rg20ap,0.541
0.4,,,,0.689,,rg20ae,0.626
0.225,1,0.003,,0.406,,rg20ax,0.633
0.235,7,0.023,,0.458,,rg20bb,0.752
0.376,11,0.04,,0.565,,rg20be,0.606
0.295,,,,0.702,,rg121lf,0.905
0.235,7,0.023,,0.458,,rg20ba,0.752
0.131,,,,0.301,,rg20ab,0.541
0.38,5,0.013,,0.54,,rg20bj,0.625
0.376,11,0.04,,0.565,,rg20az,0.606
0.39,1,0.003,,0.637,,rg20bn,0.803
0.212,12,0.047,,0.339,,rg20ay,0.599
0.225,1,0.003,,0.406,,rg20bd,0.633
0.087,,,,0.462,,rg121hx,0.91
0.159,,,,0.419,,rg20bt,0.636
0.149,,,,0.431,,rg20bf,0.698
0.087,,,,0.462,,rg121hb,0.91
0.283,,,,0.463,,rg20by,0.541
0.212,12,0.047,,0.339,,rg20ar,0.599
0.149,,,,0.431,,rg20da,0.698
0.149,,,,0.431,,rg20db,0.698
0.159,,,,0.419,,rg20bz,0.636
0.38,5,0.013,,0.54,,rg20bh,0.625
0.159,,,,0.419,,rg20dd,0.636
0.374,,,,0.767,,rg20bs,0.709
0.159,,,,0.419,,rg20dg,0.636
0.087,,,,0.462,,rg121lp,0.91
0.4,,,,0.689,,rg20dj,0.626
0.159,,,,0.419,,rg20dl,0.636
0.159,,,,0.419,,rg20bx,0.636
0.159,,,,0.419,,rg20dn,0.636
0.394,4,0.015,,0.416,,rg20dr,0.657
0.394,4,0.015,,0.416,,rg20dp,0.657
0.159,,,,0.419,,rg20bw,0.636
0.087,,,,0.462,,rg121jh,0.91
0.374,,,,0.767,,rg20ds,0.709
0.345,9,0.021,,0.42,,rg20dx,0.641
0.149,,,,0.431,,rg20de,0.698
0.149,,,,0.431,,rg20df,0.698
0.433,3,0.012,,0.544,,rg20bq,0.644
0.34,2,0.007,,0.517,,rg20bg,0.549
0.376,11,0.04,,0.565,,rg20as,0.606
0.212,12,0.047,,0.339,,rg20ed,0.599
0.103,,,,0.31,,rg20ef,0.58
0.159,,,,0.419,,rg20bp,0.636
0.103,,,,0.31,,rg20bu,0.58
0.212,12,0.047,,0.339,,rg20eg,0.599
0.103,,,,0.31,,rg20ea,0.58
0.394,4,0.015,,0.416,,rg20dt,0.657
0.148,2,0.005,,0.427,,rg20en,0.592
0.225,1,0.003,,0.406,,rg20ej,0.633
0.376,11,0.04,,0.565,,rg20eb,0.606
0.39,1,0.003,,0.637,,rg20bl,0.803
0.437,3,0.011,,0.621,,rg20dq,0.684
0.148,2,0.005,,0.427,,rg20et,0.592
0.351,6,0.019,,0.477,,rg20eu,0.702
0.351,6,0.019,,0.477,,rg20ex,0.702
0.148,2,0.005,,0.427,,rg20ey,0.592
0.422,3,0.012,,0.505,,rg20ew,0.78
0.103,,,,0.31,,rg20ez,0.58
0.374,,,,0.767,,rg20fb,0.709
0.433,3,0.012,,0.544,,rg20fd,0.644
0.374,,,,0.767,,rg20fe,0.709
0.148,2,0.005,,0.427,,rg20er,0.592
0.103,,,,0.31,,rg20dy,0.58
0.103,,,,0.31,,rg20ee,0.58
0.246,2,0.007,,0.555,,rg20fl,0.627
0.246,2,0.007,,0.555,,rg20fj,0.627
0.433,3,0.012,,0.544,,rg20fh,0.644
0.202,3,0.01,,0.422,,rg20dw,0.726
0.345,9,0.021,,0.42,,rg20el,0.641
0.374,,,,0.767,,rg20ff,0.709
0.34,2,0.007,,0.517,,rg20fw,0.549
0.374,,,,0.767,,rg20fx,0.709
0.376,11,0.04,,0.565,,rg20dz,0.606
0.246,2,0.007,,0.555,,rg20fr,0.627
0.246,2,0.007,,0.555,,rg20ga,0.627
0.374,,,,0.767,,rg20fz,0.709
0.374,,,,0.767,,rg20fs,0.709
0.212,12,0.047,,0.339,,rg20eq,0.599
0.394,4,0.015,,0.416,,rg20es,0.657
0.34,2,0.007,,0.517,,rg20gf,0.549
0.433,3,0.012,,0.544,,rg20fg,0.644
0.246,2,0.007,,0.555,,rg20gh,0.627
0.246,2,0.007,,0.555,,rg20gn,0.627
0.246,2,0.007,,0.555,,rg20fn,0.627
0.149,,,,0.431,,rg20gg,0.698
0.394,4,0.015,,0.416,,rg20du,0.657
0.246,2,0.007,,0.555,,rg20gd,0.627
0.373,5,0.026,,0.795,,rg20gq,0.76
0.505,8,0.041,,0.74,,rg20gt,0.609
0.246,2,0.007,,0.555,,rg20ge,0.627
0.505,8,0.041,,0.74,,rg20gs,0.609
0.374,,,,0.767,,rg20fa,0.709
0.505,8,0.041,,0.74,,rg20gx,0.609
0.505,8,0.041,,0.74,,rg20gy,0.609
0.098,8,0.025,,0.432,,rg20hb,0.702
0.148,2,0.005,,0.427,,rg20ha,0.592
0.103,,,,0.31,,rg20he,0.58
0.374,,,,0.767,,rg20fp,0.709
0.136,3,0.01,,0.422,,rg20hf,0.691
0.505,8,0.041,,0.74,,rg20gr,0.609
0.422,3,0.012,,0.505,,rg20ep,0.78
0.246,2,0.007,,0.555,,rg20gj,0.627
0.505,8,0.041,,0.74,,rg20gw,0.609
0.283,,,,0.463,,rg20hl,0.541
0.19,6,0.02,,0.385,,rg20hp,0.816
0.103,,,,0.31,,rg20hn,0.58
0.136,3,0.01,,0.422,,rg20hq,0.691
0.34,2,0.007,,0.517,,rg20ht,0.549
0.374,,,,0.767,,rg20fu,0.709
0.103,,,,0.31,,rg20hg,0.58
