ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
0.212,200,0.01,,0.431,,co1,0.881
0.238,230,0.002,,0.379,,so4,0.975
0.445,2,0.005,,0.364,,e77,0.305
0.129,87,0.003,,0.412,,ca1,0.974
0.24,1,0.0,,0.263,,tq8,0.988
0.062,533,0.024,,0.201,,ts1,0.671
0.179,59,0.002,,0.409,,wn4,0.987
0.2,231,0.008,,0.407,,g42,0.787
0.23,51,0.003,,0.393,,ka9,0.985
0.128,152,0.09,,0.012,,g9,0.771
0.142,105,0.003,,0.337,,tq2,0.967
0.193,1742,0.026,,0.325,,nw9,0.366
0.136,10,0.001,,0.402,,dd9,0.99
0.099,19,0.001,,0.36,,dn8,0.977
0.355,82,0.005,,0.345,,gu6,0.967
0.219,13,0.001,,0.317,,ba6,0.981
0.166,1183,0.011,,0.37,,cr4,0.397
0.124,70,0.001,,0.401,,ta6,0.982
0.116,55,0.002,,0.382,,pa5,0.984
0.296,684,0.019,,0.375,,n11,0.625
0.066,156,0.008,,0.25,,l5,0.923
0.1,167,0.005,,0.339,,l44,0.967
0.216,2,0.001,,0.44,,pa9,0.992
0.21,453,0.008,,0.432,,lu2,0.748
0.159,60,0.002,,0.398,,wf8,0.974
0.142,251,0.006,,0.39,,ub4,0.411
0.162,246,0.005,,0.375,,bl9,0.824
0.253,111,0.003,,0.4,,ss6,0.968
0.44,31,0.003,,0.357,,cw4,0.983
0.17,44,0.001,,0.396,,s81,0.978
0.18,184,0.004,,0.438,,tf2,0.93
0.163,89,0.002,,0.372,,po9,0.972
0.193,120,0.017,,0.426,,hu1,0.813
0.168,9,0.001,,0.368,,td7,0.987
0.276,167,0.004,,0.417,,b92,0.87
0.118,30,0.001,,0.394,,ml9,0.991
0.187,356,0.007,,0.373,,ha0,0.215
0.174,214,0.005,,0.448,,nn5,0.859
0.269,759,0.014,,0.402,,cv5,0.886
0.161,303,0.01,,0.389,,b42,0.59
0.339,717,0.011,,0.408,,ng2,0.777
0.31,154,0.007,,0.346,,ex5,0.977
0.251,417,0.022,,0.326,,fk8,0.951
0.092,44,0.002,,0.361,,l30,0.986
0.428,526,0.01,,0.395,,ha5,0.624
0.25,611,0.014,,0.451,,sm1,0.781
0.284,541,0.009,,0.404,,br1,0.741
0.273,220,0.009,,0.397,,da5,0.897
0.389,345,0.01,,0.452,,m21,0.728
0.254,91,0.004,,0.383,,bb6,0.937
0.274,318,0.007,,0.494,,nn4,0.881
0.302,379,0.006,,0.445,,cm2,0.933
0.231,398,0.01,,0.411,,wd6,0.82
0.196,67,0.002,,0.387,,dh3,0.975
0.236,,,,0.33,,hs5,0.969
0.25,44,0.003,,0.357,,st9,0.978
0.108,95,0.002,,0.357,,s71,0.981
0.063,177,0.005,,0.282,,fy1,0.954
0.176,95,0.002,,0.425,,ol2,0.942
0.282,51,0.001,,0.37,,pr3,0.98
0.058,,,,0.281,,g70,0.949
0.519,1323,0.022,,0.423,,nw3,0.733
0.361,37,0.003,,0.409,,wd4,0.932
0.501,97,0.026,,0.483,,w1j,0.709
0.1,79,0.003,,0.324,,ol1,0.681
0.069,139,0.005,,0.306,,l11,0.957
0.412,199,0.006,,0.419,,al4,0.9
0.399,702,0.013,,0.435,,m20,0.782
0.444,246,0.042,,0.419,,w1w,0.663
0.129,165,0.004,,0.311,,ct9,0.945
0.249,10,0.001,,0.326,,ta5,0.99
0.151,38,0.002,,0.394,,g78,0.981
0.33,795,0.05,,0.498,,m3,0.779
0.361,523,0.01,,0.456,,br3,0.828
0.22,533,0.023,,0.323,,bs2,0.578
0.35,10,0.001,,0.378,,b96,0.97
0.219,214,0.01,,0.44,,kt9,0.855
0.161,,,,0.402,,hs8,0.994
0.298,187,0.013,,0.486,,mk8,0.772
0.208,51,0.002,,0.358,,ts7,0.96
0.119,70,0.002,,0.332,,ub2,0.157
0.366,31,0.002,,0.355,,bn6,0.974
0.14,766,0.023,,0.322,,po1,0.825
0.164,140,0.002,,0.422,,me5,0.922
0.237,,,,0.397,,ch7,
0.558,238,0.007,,0.403,,al5,0.931
0.309,27,0.003,,0.4,,rh7,0.965
0.212,1979,0.012,,0.403,,cr0,0.551
0.235,412,0.006,,0.4,,s6,0.914
0.383,589,0.007,,0.439,,sl6,0.847
0.099,196,0.004,,0.363,,dd4,0.963
0.132,379,0.004,,0.316,,le5,0.318
0.179,512,0.015,,0.397,,l12,0.95
0.259,254,0.009,,0.408,,g64,0.955
0.11,462,0.011,,0.351,,ls9,0.715
0.369,3102,0.041,,0.448,,se1,0.582
0.182,,,,0.365,,hs6,0.993
0.222,135,0.003,,0.398,,s75,0.977
0.191,1,0.0,,0.379,,td4,0.99
0.276,345,0.01,,0.464,,eh7,0.915
0.232,833,0.016,,0.232,,ls6,0.806
0.144,111,0.001,,0.417,,ab4,0.99
0.241,244,0.005,,0.376,,wv6,0.724
0.267,13,0.001,,0.389,,ip6,0.978
0.235,258,0.007,,0.463,,al7,0.871
0.119,285,0.007,,0.392,,m22,0.86
0.173,62,0.002,,0.418,,dh8,0.987
0.274,27,0.031,,0.43,,l71,0.886
0.153,54,0.003,,0.298,,tq4,0.981
0.265,101,0.008,,0.464,,wr1,0.917
0.485,324,0.01,,0.354,,bs9,0.919
0.43,303,0.01,,0.414,,n10,0.786
0.263,,,,0.412,,iv9,0.992
0.388,42,0.003,,0.385,,rh8,0.963
0.303,42,0.003,,0.393,,cr6,0.919
0.065,6,0.015,,0.149,,b99,0.123
0.202,292,0.009,,0.366,,ss1,0.893
0.197,300,0.007,,0.435,,hp2,0.864
0.343,8,0.002,,0.309,,tr5,0.984
0.241,793,0.087,,0.148,,b4,0.438
0.146,152,0.004,,0.4,,en8,0.846
0.149,178,0.004,,0.402,,cw1,0.961
0.178,101,0.001,,0.424,,ab5,0.99
0.107,12,0.001,,0.355,,dl4,0.989
0.255,755,0.028,,0.36,,b16,0.42
0.14,565,0.032,,0.218,,dd1,0.871
0.292,205,0.005,,0.481,,bs3,0.907
0.262,252,0.013,,0.332,,ig5,0.43
0.177,291,0.008,,0.422,,ip3,0.882
0.078,22,0.001,,0.321,,ts6,0.98
0.134,44,0.002,,0.375,,ws8,0.951
0.183,8,0.001,,0.474,,g60,0.988
0.324,129,0.006,,0.429,,ip5,0.942
0.414,593,0.071,,0.364,,w1t,0.619
0.158,496,0.008,,0.393,,b31,0.857
0.359,195,0.007,,0.428,,b73,0.863
0.185,165,0.003,,0.376,,wf2,0.926
0.271,50,0.001,,0.386,,gl5,0.976
0.188,106,0.004,,0.413,,da2,0.897
0.291,1437,0.019,,0.39,,ng9,0.894
0.356,28,0.002,,0.322,,wr6,0.985
0.158,186,0.005,,0.411,,nr3,0.929
0.143,,,,0.327,,hs4,0.993
0.099,502,0.043,,0.262,,sr1,0.823
0.154,5,0.001,,0.306,,dg6,0.994
0.477,63,0.038,,0.468,,w1s,0.719
0.126,164,0.003,,0.404,,wa7,0.978
0.122,514,0.014,,0.345,,m6,0.877
0.075,291,0.012,,0.199,,b19,0.159
0.171,215,0.006,,0.347,,hd4,0.783
0.143,35,0.002,,0.594,,dl9,0.902
0.406,482,0.117,,0.437,,w1d,0.662
0.153,335,0.007,,0.369,,bl2,0.917
0.187,80,0.003,,0.424,,b78,0.976
0.405,532,0.014,,0.442,,w13,0.682
0.216,404,0.01,,0.418,,da7,0.873
0.103,188,0.005,,0.351,,bd4,0.766
0.297,401,0.011,,0.355,,ig2,0.301
0.371,226,0.132,,0.413,,b2,0.43
0.172,129,0.003,,0.411,,ng4,0.925
0.238,,,,0.28,,hr3,
0.16,391,0.007,,0.281,,e7,0.218
0.189,139,0.005,,0.425,,ta2,0.971
0.335,618,0.015,,0.378,,en5,0.772
0.203,18,0.001,,0.412,,dd7,0.99
0.319,1292,0.015,,0.36,,bn1,0.887
0.142,345,0.012,,0.411,,mk6,0.662
0.362,89,0.002,,0.397,,ox7,0.974
0.257,21,0.001,,0.342,,ta4,0.985
0.356,131,0.002,,0.423,,ox9,0.966
0.417,716,0.02,,0.421,,gu1,0.88
0.363,417,0.017,,0.41,,kt5,0.763
0.187,50,0.002,,0.386,,ws7,0.982
0.413,789,0.027,,0.416,,b17,0.643
0.258,172,0.012,,0.392,,bh7,0.911
0.164,220,0.009,,0.433,,mk3,0.864
0.106,200,0.005,,0.377,,ng6,0.833
0.173,51,0.001,,0.375,,dy3,0.96
0.37,1293,0.092,,0.407,,m60,0.72
0.137,332,0.008,,0.371,,ss2,0.907
0.195,62,0.003,,0.392,,ss4,0.967
0.101,513,0.012,,0.359,,g33,0.948
0.206,1171,0.021,,0.361,,e15,0.385
0.102,150,0.004,,0.31,,s65,0.86
0.378,245,0.009,,0.38,,n21,0.759
0.068,70,0.002,,0.333,,b70,0.533
0.431,130,0.01,,0.408,,hp7,0.906
0.161,128,0.004,,0.421,,fk7,0.98
0.178,225,0.003,,0.452,,sn2,0.924
